tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
10506	Paramecium bursaria Chlorella virus 1	918308	0	live	A292L	PBCV1_A292L	Chitosanase				NC_000852.5	149247	150233	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918300	0	live	A252R	PBCV1_A252R	R.CviAII restriction endonuclease				NC_000852.5	127028	128056	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918299	0	live	A251R	PBCV1_A251R	M.CviAII adenine methylase				NC_000852.5	126048	127028	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918298	0	live	A250R	PBCV1_A250R	Potassium ioin channel protein (Kcv)				NC_000852.5	125670	125954	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918287	0	live	A248R	PBCV1_A248R	Protein kinase				NC_000852.5	124712	125638	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918248	0	live	A118R	PBCV1_A118R	GDP-D-mannose dehydratase				NC_000852.5	60726	61763	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918244	0	live	A100R	PBCV1_A100R	Glutamine:fructose-6-phosphate amidotransferase				NC_000852.5	52691	54478	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918226	0	live	A464R	PBCV1_A464R	Rnase III				NC_000852.5	222966	223793	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918188	0	live	A674R	PBCV1_A674R	Thymidylate synthase X				NC_000852.5	321804	322454	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918151	0	live	A034R	PBCV1_A034R	Protein kinase				NC_000852.5	20572	21498	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918123	0	live	A558L	PBCV1_A558L	Capsid protein				NC_000852.5	267736	268938	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918101	0	live	A614L	PBCV1_A614L	Protein kinase				NC_000852.5	293449	295182	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918099	0	live	A448L	PBCV1_A448L	Protein disulphide isomerase with heme binding site				NC_000852.5	217342	217662	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918088	0	live	A609L	PBCV1_A609L	UDP-glucose dehydrogenase				NC_000852.5	291805	292974	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918084	0	live	A438L	PBCV1_A438L	Glutaredoxin				NC_000852.5	212859	213095	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918013	0	live	A551L	PBCV1_A551L	dUTP pyrophosphatase				NC_000852.5	264603	265028	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918011	0	live	A581R	PBCV1_A581R	6mA DNA methylase M.CviAI				NC_000852.5	279882	280679	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918010	0	live	A579L	PBCV1_A579L	R.CviAI restriction endonuclease				NC_000852.5	279084	279800	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918007	0	live	A098R	PBCV1_A098R	Hyaluronan synthase				NC_000852.5	50886	52592	plus	0		
10506	Paramecium bursaria Chlorella virus 1	917996	0	live	A094L	PBCV1_A094L	beta-1-3-glucanase				NC_000852.5	49662	50756	minus	0		
10506	Paramecium bursaria Chlorella virus 1	917994	0	live	A215L	PBCV1_A215L	Alkaline alginate lyas / 1-4 polyglucuronic acid lysase / polysaccharide lyase family 14 / vAL-1				NC_000852.5	108746	109711	minus	0		
10506	Paramecium bursaria Chlorella virus 1	917971	0	live	A638R	PBCV1_A638R	Agmatine iminohydrolase				NC_000852.5	307915	308994	plus	0		
10506	Paramecium bursaria Chlorella virus 1	917968	0	live	A622L	PBCV1_A622L	Capsid protein				NC_000852.5	298138	299700	minus	0		
10506	Paramecium bursaria Chlorella virus 1	917961	0	live	A010R	PBCV1_A010R	Capsid protein				NC_000852.5	5768	6973	plus	0		
10506	Paramecium bursaria Chlorella virus 1	917959	0	live	A181/182R	PBCV1_A181/182R	Chitinase				NC_000852.5	91810	94302	plus	0		
10506	Paramecium bursaria Chlorella virus 1	917939	0	live	A654L	PBCV1_A654L	hypothetical protein				NC_000852.5	314465	315058	minus	0		
10506	Paramecium bursaria Chlorella virus 1	917907	0	live	A169R	PBCV1_A169R	Aspartate transcarbamylase				NC_000852.5	86904	87875	plus	0		
10506	Paramecium bursaria Chlorella virus 1	917901	0	live	A078R	PBCV1_A078R	N-carbamoylputrescine amidohydrolase				NC_000852.5	40863	41759	plus	0		
10506	Paramecium bursaria Chlorella virus 1	917865	0	live	A430L	PBCV1_A430L	Major capsid protein				NC_000852.5	210155	211468	minus	0		
10506	Paramecium bursaria Chlorella virus 1	917814	0	live	A085R	PBCV1_A085R	Prolyl 4-hydroxylase				NC_000852.5	44498	45226	plus	0		
10506	Paramecium bursaria Chlorella virus 1	917798	0	live	A544R	PBCV1_A544R	ATP-dependent DNA ligase				NC_000852.5	260953	261849	plus	0		
10506	Paramecium bursaria Chlorella virus 1	917789	0	live	A237R	PBCV1_A237R	Homospermidine synthase				NC_000852.5	116167	117723	plus	0		
10506	Paramecium bursaria Chlorella virus 1	10971118	0	live	A436L	PBCV1_A436L	hypothetical protein				NC_000852.5	212299	212490	minus	0		
10506	Paramecium bursaria Chlorella virus 1	1724494	0	live	A274R	PBCV1_A274R	hypothetical protein				NC_000852.5	139119	139910	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918481	0	live	a055L	PBCV1_a055L	hypothetical protein				NC_000852.5	30008	30403	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918478	0	live	A536L	PBCV1_A536L	hypothetical protein				NC_000852.5	255394	255615	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918477	0	live	A535L	PBCV1_A535L	hypothetical protein				NC_000852.5	255129	255344	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918476	0	live	a528R	PBCV1_a528R	hypothetical protein				NC_000852.5	251727	252011	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918475	0	live	A527R	PBCV1_A527R	hypothetical protein				NC_000852.5	251338	251637	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918473	0	live	a364L	PBCV1_a364L	hypothetical protein				NC_000852.5	179408	179611	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918472	0	live	A532L	PBCV1_A532L	hypothetical protein				NC_000852.5	253218	253457	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918471	0	live	A531L	PBCV1_A531L	hypothetical protein				NC_000852.5	252995	253198	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918470	0	live	a291R	PBCV1_a291R	hypothetical protein				NC_000852.5	148920	149189	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918469	0	live	a290R	PBCV1_a290R	hypothetical protein				NC_000852.5	148366	148773	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918467	0	live	A530R	PBCV1_A530R	hypothetical protein				NC_000852.5	251953	252993	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918465	0	live	A053R	PBCV1_A053R	hypothetical protein				NC_000852.5	29684	30775	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918464	0	live	A005R	PBCV1_A005R	hypothetical protein				NC_000852.5	2288	3094	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918463	0	live	a560R	PBCV1_a560R	hypothetical protein				NC_000852.5	269181	269495	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918461	0	live	a341aR	PBCV1_a341aR	hypothetical protein				NC_000852.5	170276	170473	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918460	0	live	a266R	PBCV1_a266R	hypothetical protein				NC_000852.5	136197	136448	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918459	0	live	A265L	PBCV1_A265L	hypothetical protein				NC_000852.5	135838	136587	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918455	0	live	a312aR	PBCV1_a312aR	hypothetical protein				NC_000852.5	156732	156890	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918453	0	live	A048R	PBCV1_A048R	hypothetical protein				NC_000852.5	27248	27619	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918450	0	live	A308L	PBCV1_A308L	hypothetical protein				NC_000852.5	154981	155340	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918448	0	live	A306L	PBCV1_A306L	hypothetical protein				NC_000852.5	154680	154940	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918446	0	live	A239L	PBCV1_A239L	hypothetical protein				NC_000852.5	117726	118172	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918445	0	live	a238L	PBCV1_a238L	hypothetical protein				NC_000852.5	117246	117590	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918442	0	live	A277L	PBCV1_A277L	Protein kinase				NC_000852.5	140812	141723	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918441	0	live	a276L	PBCV1_a276L	hypothetical protein				NC_000852.5	140462	140746	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918440	0	live	A275R	PBCV1_A275R	hypothetical protein				NC_000852.5	140138	140896	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918436	0	live	a251aL	PBCV1_a251aL	hypothetical protein				NC_000852.5	126233	126658	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918434	0	live	A261R	PBCV1_A261R	hypothetical protein				NC_000852.5	134281	134898	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918432	0	live	a223aL	PBCV1_a223aL	hypothetical protein				NC_000852.5	111891	112169	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918430	0	live	A324L	PBCV1_A324L	hypothetical protein				NC_000852.5	161118	162479	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918429	0	live	a323R	PBCV1_a323R	hypothetical protein				NC_000852.5	160674	161072	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918428	0	live	A526R	PBCV1_A526R	hypothetical protein				NC_000852.5	250898	251338	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918425	0	live	A520L	PBCV1_A520L	hypothetical protein				NC_000852.5	248772	249074	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918424	0	live	A519L	PBCV1_A519L	hypothetical protein				NC_000852.5	248519	248767	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918419	0	live	A304R	PBCV1_A304R	hypothetical protein				NC_000852.5	153814	154050	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918418	0	live	A247R	PBCV1_A247R	hypothetical protein				NC_000852.5	123427	124578	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918417	0	live	A246aR	PBCV1_A246R	hypothetical protein				NC_000852.5	122878	123336	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918414	0	live	A523R	PBCV1_A523R	hypothetical protein				NC_000852.5	250331	250846	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918412	0	live	a381R	PBCV1_a381R	hypothetical protein				NC_000852.5	186136	186393	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918411	0	live	A213L	PBCV1_A213L	hypothetical protein				NC_000852.5	107779	108225	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918408	0	live	a518R	PBCV1_a518R	hypothetical protein				NC_000852.5	248150	248452	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918407	0	live	A517L	PBCV1_A517L	hypothetical protein				NC_000852.5	247408	248442	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918406	0	live	A320R	PBCV1_A320R	hypothetical protein				NC_000852.5	159641	160060	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918405	0	live	a319L	PBCV1_a319L	hypothetical protein				NC_000852.5	159131	159385	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918403	0	live	a506R	PBCV1_a506R	hypothetical protein				NC_000852.5	243470	243682	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918402	0	live	A505L	PBCV1_A505L	hypothetical protein				NC_000852.5	243250	244704	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918399	0	live	A683L	PBCV1_A683L	hypothetical protein				NC_000852.5	326083	327186	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918396	0	live	A039L	PBCV1_A039L	hypothetical protein				NC_000852.5	23623	24078	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918393	0	live	a508R	PBCV1_a508R	hypothetical protein				NC_000852.5	244334	244567	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918391	0	live	A296R	PBCV1_A296R	hypothetical protein				NC_000852.5	151233	151706	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918390	0	live	A295L	PBCV1_A295L	Fucose synthetase				NC_000852.5	150236	151189	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918388	0	live	a692R	PBCV1_a692R	hypothetical protein				NC_000852.5	330257	330526	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918385	0	live	a510R	PBCV1_a510R	hypothetical protein				NC_000852.5	244616	244819	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918383	0	live	a385L	PBCV1_a385L	hypothetical protein				NC_000852.5	188307	188537	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918381	0	live	A383R	PBCV1_A383R	Capsid protein				NC_000852.5	186572	187954	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918380	0	live	a690R	PBCV1_a690R	hypothetical protein				NC_000852.5	328680	328916	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918378	0	live	A322L	PBCV1_A322L	hypothetical protein				NC_000852.5	160547	161077	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918377	0	live	A321R	PBCV1_A321R	hypothetical protein				NC_000852.5	160112	160471	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918372	0	live	A243R	PBCV1_A243R	hypothetical protein				NC_000852.5	120839	121747	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918371	0	live	a504R	PBCV1_a504R	hypothetical protein				NC_000852.5	242786	243076	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918370	0	live	A503L	PBCV1_A503L	hypothetical protein				NC_000852.5	242339	243253	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918368	0	live	a684R	PBCV1_a684R	hypothetical protein				NC_000852.5	326737	327057	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918367	0	live	A491R	PBCV1_A491R	hypothetical protein				NC_000852.5	237110	237340	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918366	0	live	A490L	PBCV1_A490L	hypothetical protein				NC_000852.5	236080	237012	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918365	0	live	a344R	PBCV1_a344R	hypothetical protein				NC_000852.5	170921	171268	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918363	0	live	A342L	PBCV1_A342L	hypothetical protein				NC_000852.5	170477	172207	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918361	0	live	a499L	PBCV1_a499L	hypothetical protein				NC_000852.5	240483	240716	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918358	0	live	a641L	PBCV1_a641L	hypothetical protein				NC_000852.5	308469	308726	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918357	0	live	a640R	PBCV1_a640R	hypothetical protein				NC_000852.5	308165	308404	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918356	0	live	A502L	PBCV1_A502L	hypothetical protein				NC_000852.5	242040	242327	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918354	0	live	A041R	PBCV1_A041R	hypothetical protein				NC_000852.5	24148	25386	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918352	0	live	A631L	PBCV1_A631L	hypothetical protein				NC_000852.5	304106	304375	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918351	0	live	a639L	PBCV1_a639L	hypothetical protein				NC_000852.5	307938	308336	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918350	0	live	A067R	PBCV1_A067R	hypothetical protein				NC_000852.5	37043	37972	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918347	0	live	a110L	PBCV1_a110L	hypothetical protein				NC_000852.5	58082	58390	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918344	0	live	A301L	PBCV1_A301L	hypothetical protein				NC_000852.5	153032	153757	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918342	0	live	a299R	PBCV1_a299R	hypothetical protein				NC_000852.5	152521	153039	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918341	0	live	A230R	PBCV1_A230R	hypothetical protein				NC_000852.5	113623	114213	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918340	0	live	a303L	PBCV1_a303L	hypothetical protein				NC_000852.5	153636	153974	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918337	0	live	a281R	PBCV1_a281R	hypothetical protein				NC_000852.5	143601	144320	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918336	0	live	a280R	PBCV1_a280R	hypothetical protein				NC_000852.5	143242	143523	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918335	0	live	A329R	PBCV1_A329R	hypothetical protein				NC_000852.5	164362	164652	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918334	0	live	A328L	PBCV1_A328L	hypothetical protein				NC_000852.5	163205	164272	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918333	0	live	A298L	PBCV1_A298L	hypothetical protein				NC_000852.5	152334	153011	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918332	0	live	A297L	PBCV1_A297L	hypothetical protein				NC_000852.5	151703	152236	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918331	0	live	A339L	PBCV1_A339L	hypothetical protein				NC_000852.5	169647	169832	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918329	0	live	a279R	PBCV1_a279R	hypothetical protein				NC_000852.5	142146	142364	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918327	0	live	A286R	PBCV1_A286R	hypothetical protein				NC_000852.5	146261	147397	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918326	0	live	a285R	PBCV1_a285R	hypothetical protein				NC_000852.5	146062	146277	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918325	0	live	A229L	PBCV1_A229L	hypothetical protein				NC_000852.5	113365	113598	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918324	0	live	a228R	PBCV1_a228R	hypothetical protein				NC_000852.5	112989	113219	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918323	0	live	a242L	PBCV1_a242L	hypothetical protein				NC_000852.5	119090	119443	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918322	0	live	A241R	PBCV1_A241R	hypothetical protein				NC_000852.5	118556	120733	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918321	0	live	a264R	PBCV1_a264R	hypothetical protein				NC_000852.5	135649	135852	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918318	0	live	A063L	PBCV1_A063L	hypothetical protein				NC_000852.5	34191	34889	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918317	0	live	a327R	PBCV1_a327R	hypothetical protein				NC_000852.5	163110	163436	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918316	0	live	A326L	PBCV1_A326L	hypothetical protein				NC_000852.5	162545	163174	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918314	0	live	a288L	PBCV1_a288L	hypothetical protein				NC_000852.5	147552	147818	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918313	0	live	A287R	PBCV1_A287R	hypothetical protein				NC_000852.5	147481	148287	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918311	0	live	a283L	PBCV1_a283L	hypothetical protein				NC_000852.5	144085	144381	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918309	0	live	a293R	PBCV1_a293R	hypothetical protein				NC_000852.5	149329	149835	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918307	0	live	A313L	PBCV1_A313L	hypothetical protein				NC_000852.5	157000	157215	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918302	0	live	a353R	PBCV1_a353R	hypothetical protein				NC_000852.5	175155	175361	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918301	0	live	A352L	PBCV1_A352L	hypothetical protein				NC_000852.5	174838	175461	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918297	0	live	A351L	PBCV1_A351L	hypothetical protein				NC_000852.5	173636	174712	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918296	0	live	A350R	PBCV1_A350R	hypothetical protein				NC_000852.5	173289	173657	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918293	0	live	a380R	PBCV1_a380R	hypothetical protein				NC_000852.5	186054	186359	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918292	0	live	A379L	PBCV1_A379L	hypothetical protein				NC_000852.5	185805	186428	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918291	0	live	A378L	PBCV1_A378L	hypothetical protein				NC_000852.5	184981	185766	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918290	0	live	A310L	PBCV1_A310L	hypothetical protein				NC_000852.5	155484	155996	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918288	0	live	a249L	PBCV1_a249L	hypothetical protein				NC_000852.5	125191	125499	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918286	0	live	A271L	PBCV1_A271L	hypothetical protein				NC_000852.5	137759	138583	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918285	0	live	a270R	PBCV1_a270R	hypothetical protein				NC_000852.5	137775	138056	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918282	0	live	a345L	PBCV1_a345L	hypothetical protein				NC_000852.5	171136	171426	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918280	0	live	A314R	PBCV1_A314R	hypothetical protein				NC_000852.5	157306	157548	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918279	0	live	A227L	PBCV1_A227L	hypothetical protein				NC_000852.5	112931	113344	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918277	0	live	A253R	PBCV1_A253R	hypothetical protein				NC_000852.5	128133	128585	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918276	0	live	A349L	PBCV1_A349L	hypothetical protein				NC_000852.5	172865	173413	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918275	0	live	A348R	PBCV1_A348R	hypothetical protein				NC_000852.5	172385	172864	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918274	0	live	a347L	PBCV1_a347L	hypothetical protein				NC_000852.5	172376	172588	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918272	0	live	a331L	PBCV1_a331L	hypothetical protein				NC_000852.5	167096	167299	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918271	0	live	A330R	PBCV1_A330R	hypothetical protein				NC_000852.5	166437	167735	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918269	0	live	a355L	PBCV1_a355L	hypothetical protein				NC_000852.5	176054	176272	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918267	0	live	A273L	PBCV1_A273L	hypothetical protein				NC_000852.5	138638	139054	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918266	0	live	a272R	PBCV1_a272R	hypothetical protein				NC_000852.5	138026	138229	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918263	0	live	A375R	PBCV1_A375R	hypothetical protein				NC_000852.5	184452	184973	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918261	0	live	A368L	PBCV1_A368L	hypothetical protein				NC_000852.5	182269	183780	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918260	0	live	a367R	PBCV1_a367R	hypothetical protein				NC_000852.5	181338	181613	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918259	0	live	A366L	PBCV1_A366L	hypothetical protein				NC_000852.5	181239	182006	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918258	0	live	a317L	PBCV1_a317L	hypothetical protein				NC_000852.5	158400	158855	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918255	0	live	A140/145R	PBCV1_A140/145R	hypothetical protein				NC_000852.5	73107	76490	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918252	0	live	a102L	PBCV1_a102L	hypothetical protein				NC_000852.5	54468	54974	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918251	0	live	a128L	PBCV1_a128L	hypothetical protein				NC_000852.5	67510	67770	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918249	0	live	A193L	PBCV1_A193L	hypothetical protein				NC_000852.5	101340	102128	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918247	0	live	a016L	PBCV1_a016L	hypothetical protein				NC_000852.5	9808	10500	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918245	0	live	a116R	PBCV1_a116R	hypothetical protein				NC_000852.5	59398	59643	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918243	0	live	a124L	PBCV1_a124L	hypothetical protein				NC_000852.5	66517	66771	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918240	0	live	A168R	PBCV1_A168R	hypothetical protein				NC_000852.5	86276	86776	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918239	0	live	A173L	PBCV1_A173L	hypothetical protein				NC_000852.5	89068	89934	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918238	0	live	A130R	PBCV1_A130R	hypothetical protein				NC_000852.5	69049	69366	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918237	0	live	a126R	PBCV1_a126R	hypothetical protein				NC_000852.5	66620	66820	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918236	0	live	A049L	PBCV1_A049L	hypothetical protein				NC_000852.5	27610	28269	minus	0		
10506	Paramecium bursaria Chlorella virus 1	918235	0	live	A071R	PBCV1_A071R	hypothetical protein				NC_000852.5	38003	39067	plus	0		
10506	Paramecium bursaria Chlorella virus 1	918234	0	live	a156L	PBCV1_a156L	hypothetical protein				NC_000852.5	79885	80217	minus	0		
